latitude,longitude,yield,Carbon (0-15 cm),Carbon (15-30 cm),Clay (0-15 cm),Clay (15-30 cm),Clay (30-60 cm),Clay (60-90 cm),Clay (90-120 cm),Sand (0-15 cm),Sand (15-30 cm),Sand (30-60 cm),Sand (60-90 cm),Sand (90-120 cm),Silt (0-15 cm),Silt (15-30 cm),Silt (30-60 cm),Silt (60-90 cm),Silt (90-120 cm),OM (0-15 cm),OM (15-30 cm),pH (0-15 cm),pH (15-30 cm),Elevation,Aspect,Curvature,Slope,TPI,Nitrogen,Phosphorous,ETa_Oct,ETa_Nov,ETa_Dec,ETa_Jan,ETa_Feb,ETa_Mar,ETa_Apr,SM 30 cm Oct,SM 30 cm Nov,SM 30 cm Dec,SM 30 cm Jan,SM 30 cm Feb,SM 30 cm Mar,SM 30 cm Apr,SM 30 cm growing,SM 60 cm Oct,SM 60 cm Nov,SM 60 cm Dec,SM 60 cm Jan,SM 60 cm Feb,SM 60 cm Mar,SM 60 cm Apr,SM 60 cm growing,SM 90 cm Oct,SM 90 cm Nov,SM 90 cm Dec,SM 90 cm Jan,SM 90 cm Feb,SM 90 cm Mar,SM 90 cm Apr,SM 90 cm growing,SM 120 cm Oct,SM 120 cm Nov,SM 120 cm Dec,SM 120 cm Jan,SM 120 cm Feb,SM 120 cm Mar,SM 120 cm Apr,SM 120 cm growing,SM 150 cm Oct,SM 150 cm Nov,SM 150 cm Dec,SM 150 cm Jan,SM 150 cm Feb,SM 150 cm Mar,SM 150 cm Apr,SM 150 cm growing,SM 180 cm Oct,SM 180 cm Nov,SM 180 cm Dec,SM 180 cm Jan,SM 180 cm Feb,SM 180 cm Mar,SM 180 cm Apr,SM 180 cm growing,Carbon,OM,pH,ETa,Clay,Sand,Silt,SM 30 cm,SM 60 cm,SM 90 cm,SM 120 cm,SM 150 cm,SM 180 cm,Precipitation
4446216.924,658629.7026,57.432777,1.0621879,0.8372515,29.516466,34.244324,26.07397,20.905964,20.432577,38.901386,29.448881,36.200096,39.75995,40.716194,29.94566,40.90539,36.515755,38.030823,38.720627,2.4752305,2.4096556,6.5763335,8.018183,1384.34,359.7405,7.3598633,9.411485,0.6188965,60,20,0.35382494,0.34710625,0.27166873,0.337393,0.41973943,1.1426721,1.0254241,18.327948,17.131084,16.63719,20.026194,20.835531,20.171253,18.616526,18.473125,15.895391,18.426792,20.170435,19.501902,21.684006,24.605572,22.865475,19.796236,15.90051,16.230457,15.700038,17.224665,16.47297,19.360416,18.296696,16.697857,15.093315,16.098486,14.907741,15.94964,18.759895,18.759657,18.318409,16.54353,15.899519,15.373039,14.589554,15.348089,16.707212,16.480112,17.666723,15.662228,16.201302,15.603299,16.065245,17.74915,17.464655,17.139614,18.040272,16.738749,0.94971967,2.442443,7.2972584,0.5568327,31.880394,34.175133,35.425526,18.820818,20.449938,17.026535,16.84102,16.00918,16.894789,76.44
4446211.924,658574.7026,69.56487,1.0785947,0.9570574,29.793926,37.0114,26.351364,22.261469,20.428886,35.080654,28.819105,33.75852,37.559765,37.065346,34.19068,35.160202,39.010128,39.501747,41.851467,2.5221658,2.3769233,6.7217937,8.041588,1384.02,358.32083,7.0805664,6.8178167,0.567749,60,20,0.36977592,0.34449515,0.2779333,0.33901757,0.42765325,1.1309081,1.0506362,19.20617,19.148315,17.605038,18.43243,20.975552,20.50636,19.914192,19.065363,16.315428,18.534702,20.219893,19.322063,21.315428,25.376568,22.468643,19.85033,16.064554,17.572607,16.29003,18.160536,18.398174,20.114117,20.27055,17.714739,19.90936,18.821438,17.063627,19.426449,19.90592,22.048077,20.611423,19.377464,16.724096,15.903448,15.727389,16.875034,17.215721,16.948467,16.877718,16.429123,16.403217,17.37341,17.520687,17.025043,18.098675,17.466562,16.535059,17.215965,1.0178261,2.4495444,7.381691,0.5629171,33.402664,31.949879,34.67544,19.398294,20.507534,18.124369,19.683756,16.610266,17.203236,76.44
4446211.924,658579.7026,56.33504,1.0781935,0.9524926,29.786776,36.767323,26.286938,22.068117,20.346535,35.224064,28.939558,33.872562,37.75457,37.43208,34.072174,35.601093,38.943783,39.39065,41.584194,2.501043,2.3692875,6.789145,8.044605,1384.01,357.5629,6.2402344,7.032988,0.5344238,60,20,0.36977592,0.34449515,0.2779333,0.33901757,0.42765325,1.1309081,1.0506362,18.885115,20.179949,18.52845,20.096294,20.993055,19.371492,17.012627,19.256668,15.981697,17.967138,20.515959,20.670223,21.262678,25.741327,23.041313,20.117304,15.992676,16.483465,17.054747,18.092844,18.19719,19.30224,19.324001,17.303581,18.466406,18.535748,16.79994,19.8921,18.755476,20.400692,18.802557,18.606422,16.155262,16.265232,16.18345,18.426428,17.319143,16.989777,17.284536,16.737381,16.514301,17.532965,16.528442,17.490776,17.83591,17.274439,16.542477,17.056305,1.0153431,2.4351654,7.416875,0.5629171,33.27705,32.08181,34.83663,19.295284,20.74005,17.778166,18.807558,16.946262,17.102757,76.44
4446211.924,658584.7026,55.69451,1.0773013,0.94116676,29.511631,36.235962,26.291468,21.868584,20.24059,35.414227,29.130548,33.891544,37.932446,37.843815,33.9866,36.080307,38.89185,39.21273,41.358257,2.4704475,2.3614511,6.861698,8.043882,1384.07,356.34973,6.8393555,7.3796916,0.5644531,60,20,0.36977592,0.34449515,0.2779333,0.33901757,0.42765325,1.1309081,1.0506362,18.885115,20.179949,18.52845,20.096294,20.993055,19.371492,17.012627,19.256668,15.981697,17.967138,20.515959,20.670223,21.262678,25.741327,23.041313,20.117304,15.992676,16.483465,17.054747,18.092844,18.19719,19.30224,19.324001,17.303581,18.466406,18.535748,16.79994,19.8921,18.755476,20.400692,18.802557,18.606422,16.155262,16.265232,16.18345,18.426428,17.319143,16.989777,17.284536,16.737381,16.514301,17.532965,16.528442,17.490776,17.83591,17.274439,16.542477,17.056305,1.009234,2.4159493,7.4527903,0.5629171,32.873795,32.27239,35.033455,19.295284,20.74005,17.778166,18.807558,16.946262,17.102757,76.44
4446211.924,658589.7026,55.661556,1.0775886,0.9312837,29.508293,35.947105,26.251081,21.67635,20.178045,35.548958,29.298094,34.02196,38.114784,38.221363,33.863483,36.57374,38.773438,39.0954,41.04927,2.4429362,2.3535228,6.9330726,8.039995,1384.11,357.36267,6.880371,7.7388196,0.57006836,60,20,0.36977592,0.34449515,0.2779333,0.33901757,0.42765325,1.1309081,1.0506362,18.706427,18.231472,19.016226,19.926798,20.833658,20.668715,17.686354,19.332527,16.184462,18.01765,19.92745,20.718369,22.665123,26.984156,22.729485,20.370722,13.983194,17.34599,16.751778,16.980198,18.36062,20.51181,18.39251,17.06259,16.895811,17.595976,16.514166,19.727856,21.065248,20.116573,18.860912,18.285486,16.03249,15.779856,15.931272,18.816692,18.518106,17.479076,17.245087,16.86682,15.860825,16.124483,16.473886,17.403067,17.541584,17.475607,16.72778,16.702961,1.0044361,2.3982296,7.486534,0.5629171,32.7277,32.423527,35.218613,19.295664,21.032383,17.475157,18.682364,17.114655,16.801031,76.44
4446211.924,658594.7026,56.260178,1.0797234,0.92362607,29.514929,35.64222,26.17509,21.482828,20.120943,35.679684,29.460417,34.191998,38.29556,38.586205,33.708366,37.112274,38.635624,38.979263,40.74632,2.4212503,2.3459394,6.9974403,8.039516,1384.13,357.6749,6.6401367,8.07472,0.55895996,60,20,0.35232076,0.34777886,0.2765773,0.3358757,0.40373236,1.1538904,1.0549417,18.409536,17.99631,17.970753,19.566685,21.051615,21.258099,18.539074,19.225943,15.659991,18.220951,19.235619,20.302053,22.496012,25.74024,21.670708,19.889704,15.759001,16.46146,16.181234,17.999172,18.457636,18.973217,20.723278,17.27078,17.286509,17.595198,15.891837,17.98621,20.9627,20.946726,19.54705,18.205221,17.149181,16.859634,15.347947,16.60586,18.378965,17.196407,18.043135,16.785624,16.66093,15.737399,16.072615,17.06976,17.788372,16.77531,16.713043,16.562752,1.0016747,2.383595,7.5184784,0.560731,32.578575,32.57005,35.41032,19.25601,20.475082,17.79357,18.602316,17.08302,16.688206,76.44
4446211.924,658599.7026,50.90423,1.0793153,0.92290306,29.350998,35.676514,26.034014,21.296803,20.077824,35.9409,29.530354,34.392746,38.47239,39.03875,33.396828,37.50996,38.48523,38.85887,40.300503,2.4048676,2.3454564,7.029251,8.048087,1384.17,335.51364,7.0004883,6.504066,0.38452148,60,20,0.35232076,0.34777886,0.2765773,0.3358757,0.40373236,1.1538904,1.0549417,18.409536,17.99631,17.970753,19.566685,21.051615,21.258099,18.539074,19.225943,15.659991,18.220951,19.235619,20.302053,22.496012,25.74024,21.670708,19.889704,15.759001,16.46146,16.181234,17.999172,18.457636,18.973217,20.723278,17.27078,17.286509,17.595198,15.891837,17.98621,20.9627,20.946726,19.54705,18.205221,17.149181,16.859634,15.347947,16.60586,18.378965,17.196407,18.043135,16.785624,16.66093,15.737399,16.072615,17.06976,17.788372,16.77531,16.713043,16.562752,1.0011091,2.3751621,7.538669,0.560731,32.513756,32.735626,35.453392,19.25601,20.475082,17.79357,18.602316,17.08302,16.688206,76.44
4446211.924,658604.7026,54.326424,1.0806686,0.9132088,29.373077,35.41997,26.01368,21.161077,20.088135,36.240078,29.613926,34.62623,38.641582,39.394493,33.037125,38.065056,38.233356,38.740696,39.983543,2.399101,2.3468874,7.0289335,8.046941,1384.17,295.3999,-0.27929688,2.8357098,0.17785645,60,20,0.35232076,0.34777886,0.2765773,0.3358757,0.40373236,1.1538904,1.0549417,18.055851,16.99899,17.51924,20.306967,19.771236,21.573046,18.664814,18.867361,16.295807,17.025019,19.476328,20.412937,21.903276,25.23645,22.84819,19.712475,16.98265,18.508121,16.364233,17.073538,18.172232,18.942894,19.718346,17.599022,17.857758,18.030924,15.435711,18.330944,19.834246,20.564709,19.756065,18.152409,16.470358,16.213758,15.371848,16.559,17.78564,17.076786,16.45665,16.392218,17.508123,16.460276,16.580772,17.666464,18.495995,17.236494,16.936838,17.177761,0.9969387,2.3729942,7.537937,0.560731,32.396523,32.927002,35.55109,18.984304,20.456858,17.966002,18.544338,16.562006,17.269281,76.44
4446211.924,658609.7026,51.54879,1.0790616,0.8991505,29.41645,34.944523,25.965473,21.05063,20.158445,36.690067,29.700294,34.980526,39.55342,40.00552,32.515137,38.670074,37.938717,37.766426,39.278908,2.4037442,2.3567,6.975337,8.04411,1384.19,187.18733,-0.000976563,1.2561969,-0.005615234,60,20,0.35232076,0.34777886,0.2765773,0.3358757,0.40373236,1.1538904,1.0549417,17.802544,17.625792,17.74175,19.68179,20.91121,20.79557,18.3161,18.810848,16.501167,17.19103,20.216303,19.487637,22.309841,24.019918,23.057772,19.652143,16.478725,17.27719,16.257576,16.579939,17.028238,19.557428,20.208115,17.211473,17.144001,16.334068,16.161575,16.764048,19.497261,18.566376,20.297249,17.381136,16.759754,15.401583,14.280446,16.643448,18.159431,16.638927,16.090202,16.04883,17.910746,15.948728,16.964003,17.082886,18.02039,17.2308,17.191189,17.090733,0.98910606,2.380222,7.5097237,0.560731,32.18049,33.195183,35.592606,18.982107,20.397669,17.626743,17.823511,16.281971,17.192678,76.44
4446211.924,658614.7026,51.88177,1.0774591,0.88206005,29.460636,34.70705,26.043388,20.993546,20.26136,37.287205,29.658764,35.30858,39.660076,40.249767,31.819048,39.333515,37.51282,37.72637,39.037292,2.418381,2.371288,6.8776035,8.037712,1384.21,187.96947,0,1.4462327,0.002197266,60,20,0.35232076,0.34777886,0.2765773,0.3358757,0.40373236,1.1538904,1.0549417,17.802544,17.625792,17.74175,19.68179,20.91121,20.79557,18.3161,18.810848,16.501167,17.19103,20.216303,19.487637,22.309841,24.019918,23.057772,19.652143,16.478725,17.27719,16.257576,16.579939,17.028238,19.557428,20.208115,17.211473,17.144001,16.334068,16.161575,16.764048,19.497261,18.566376,20.297249,17.381136,16.759754,15.401583,14.280446,16.643448,18.159431,16.638927,16.090202,16.04883,17.910746,15.948728,16.964003,17.082886,18.02039,17.2308,17.191189,17.090733,0.9797596,2.3948345,7.457658,0.560731,32.083843,33.472984,35.576283,18.982107,20.397669,17.626743,17.823511,16.281971,17.192678,76.44
4446211.924,658619.7026,54.26307,1.0675462,0.86320466,29.470049,34.43845,25.887527,20.83487,20.237425,38.047985,29.539608,35.816727,39.675987,40.50064,30.866161,40.218956,37.092274,38.08921,38.968132,2.4431179,2.3839464,6.7606406,8.029487,1384.23,182.67787,0.20019531,1.534069,0.011108398,60,20,0.35232076,0.34777886,0.2765773,0.3358757,0.40373236,1.1538904,1.0549417,18.005543,18.266817,18.088915,19.179737,20.092342,21.31579,18.005432,18.79197,16.178478,18.01572,20.430628,19.489864,20.718311,24.376656,23.387867,19.643713,17.963171,16.822363,16.025034,16.625114,16.478413,20.684206,19.312328,17.269129,17.626835,16.35336,15.683656,16.176882,19.017605,19.43397,19.437683,17.405334,16.036297,16.018728,14.962078,15.424982,17.06095,16.625004,17.048998,15.921856,17.076637,15.487216,16.784264,17.223217,17.282055,16.857906,17.604649,16.808132,0.9653754,2.4135323,7.3950634,0.560731,31.95425,33.793797,35.542557,18.993513,20.371075,17.701519,17.675713,16.168148,16.902279,76.44
