latitude,longitude,yield,Carbon (0-15 cm),Carbon (15-30 cm),Clay (0-15 cm),Clay (15-30 cm),Clay (30-60 cm),Clay (60-90 cm),Clay (90-120 cm),Sand (0-15 cm),Sand (15-30 cm),Sand (30-60 cm),Sand (60-90 cm),Sand (90-120 cm),Silt (0-15 cm),Silt (15-30 cm),Silt (30-60 cm),Silt (60-90 cm),Silt (90-120 cm),OM (0-15 cm),OM (15-30 cm),pH (0-15 cm),pH (15-30 cm),Elevation,Aspect,Curvature,Slope,TPI,Nitrogen,Phosphorous,ETa_Oct,ETa_Nov,ETa_Dec,ETa_Jan,ETa_Feb,ETa_Mar,ETa_Apr,SM 30 cm Oct,SM 30 cm Nov,SM 30 cm Dec,SM 30 cm Jan,SM 30 cm Feb,SM 30 cm Mar,SM 30 cm Apr,SM 30 cm growing,SM 60 cm Oct,SM 60 cm Nov,SM 60 cm Dec,SM 60 cm Jan,SM 60 cm Feb,SM 60 cm Mar,SM 60 cm Apr,SM 60 cm growing,SM 90 cm Oct,SM 90 cm Nov,SM 90 cm Dec,SM 90 cm Jan,SM 90 cm Feb,SM 90 cm Mar,SM 90 cm Apr,SM 90 cm growing,SM 120 cm Oct,SM 120 cm Nov,SM 120 cm Dec,SM 120 cm Jan,SM 120 cm Feb,SM 120 cm Mar,SM 120 cm Apr,SM 120 cm growing,SM 150 cm Oct,SM 150 cm Nov,SM 150 cm Dec,SM 150 cm Jan,SM 150 cm Feb,SM 150 cm Mar,SM 150 cm Apr,SM 150 cm growing,SM 180 cm Oct,SM 180 cm Nov,SM 180 cm Dec,SM 180 cm Jan,SM 180 cm Feb,SM 180 cm Mar,SM 180 cm Apr,SM 180 cm growing,Carbon,OM,pH,ETa,Clay,Sand,Silt,SM 30 cm,SM 60 cm,SM 90 cm,SM 120 cm,SM 150 cm,SM 180 cm,Precipitation
4447416.924,659349.7026,14.839121,0.61983573,0.46940854,17.39263,19.99646,19.68145,19.732363,20.368916,66.765945,62.412563,63.55935,68.817924,69.288414,16.635601,16.867138,15.749359,11.103001,10.9483795,1.3532872,1.2758605,6.1715097,7.5009284,1375.19,12.983616,-0.000976563,0.9556107,-0.005615234,25,20,0.48048532,0.32262886,0.23353092,0.27836344,0.27315643,0.80840456,0.6829814,18.084682,16.17128,15.755681,15.650569,14.896551,14.372735,14.830627,15.834123,22.601994,22.985668,23.898474,23.359045,22.886646,22.433401,21.979353,22.936565,21.286076,19.657566,20.026316,18.542492,23.431078,21.52434,21.67742,21.157606,23.959764,22.168108,24.514109,24.225359,23.928343,20.609133,24.8204,23.670979,12.651721,11.723935,10.872444,11.091637,11.883357,11.436103,11.315063,11.514369,13.860914,14.8131485,13.865095,13.953049,13.967589,17.116825,16.07912,14.982008,0.5446221,1.3145739,6.836219,0.43993583,18.694546,64.58926,16.75137,15.680304,22.877796,20.877897,23.460745,11.567751,14.807961,42.17
4447416.924,659354.7026,16.945454,0.6164111,0.46425438,17.070564,19.841572,19.667397,19.24407,20.534214,67.28351,63.347137,62.321236,66.75007,69.12985,16.7256,17.610472,16.511656,12.111962,11.058899,1.3655251,1.249507,6.1257067,7.4604034,1375.17,4.6668577,-0.23925781,0.8767531,-0.012207031,25,20,0.48048532,0.32262886,0.23353092,0.27836344,0.27315643,0.80840456,0.6829814,18.084682,16.17128,15.755681,15.650569,14.896551,14.372735,14.830627,15.834123,22.601994,22.985668,23.898474,23.359045,22.886646,22.433401,21.979353,22.936565,21.286076,19.657566,20.026316,18.542492,23.431078,21.52434,21.67742,21.157606,23.959764,22.168108,24.514109,24.225359,23.928343,20.609133,24.8204,23.670979,12.651721,11.723935,10.872444,11.091637,11.883357,11.436103,11.315063,11.514369,13.860914,14.8131485,13.865095,13.953049,13.967589,17.116825,16.07912,14.982008,0.54033273,1.3075161,6.793055,0.43993583,18.456068,65.31532,17.168036,15.680304,22.877796,20.877897,23.460745,11.567751,14.807961,42.17
4447416.924,659359.7026,20.670681,0.61860424,0.4649462,17.52887,20.062216,19.884573,19.71929,20.594976,66.271515,62.189476,62.12969,66.58107,69.26993,16.967804,17.795725,16.682928,12.299667,10.859342,1.3463386,1.2522532,6.148707,7.475616,1375.17,6.771721,-0.03955078,0.851114,-0.004394531,25,20,0.48048532,0.32262886,0.23353092,0.27836344,0.27315643,0.80840456,0.6829814,17.533298,16.604813,16.285633,15.695043,14.165329,14.639054,14.863939,15.889911,22.204645,23.232,23.709599,22.203802,22.635828,21.556723,23.714888,22.75295,22.028698,20.65036,21.89526,18.036537,24.651855,20.425854,25.737797,21.690104,23.57139,22.895914,25.618637,23.194551,21.821148,20.420774,24.99336,23.3711,12.646146,12.750518,10.821578,11.713276,13.469166,11.384404,12.391517,12.092532,14.997561,14.693045,12.933757,14.072834,14.853359,15.761451,14.651677,14.5963335,0.5417752,1.2992959,6.8121614,0.43993583,18.795544,64.2305,17.381763,15.683873,22.751068,21.91805,23.21654,12.168086,14.56624,42.17
4447416.924,659364.7026,30.212372,0.61825967,0.46879217,17.768478,20.315826,20.02571,19.838402,20.508228,65.69157,61.742992,61.804115,66.414665,69.41126,17.161114,18.048836,16.912813,12.41393,10.816789,1.3351791,1.251013,6.175331,7.475932,1375.16,9.301414,0.000488281,0.79833263,-0.005493164,25,20,0.48048532,0.32262886,0.23353092,0.27836344,0.27315643,0.80840456,0.6829814,18.10545,16.341648,14.763433,16.130045,15.098907,15.900047,14.424819,16.013678,23.154068,23.199915,23.239178,22.983805,23.002865,22.634394,23.316837,23.106672,21.738132,19.404705,21.078615,16.638655,23.464785,21.70465,25.100693,21.317278,24.327806,23.058777,25.64326,22.944784,23.047857,23.756056,24.223772,24.082462,13.942551,12.837599,12.399806,11.37022,11.897256,11.492156,13.971049,12.585782,14.696277,14.5262165,13.553406,13.759898,12.439129,14.881419,14.413009,14.107669,0.54352593,1.2930961,6.8256316,0.43993583,19.042152,63.717278,17.604975,15.823479,23.075865,21.30432,23.857471,12.558661,14.03848,42.17
4447416.924,659369.7026,28.435661,0.61715215,0.46693262,17.923777,20.390793,20.055147,19.828384,20.446426,65.38842,61.807705,61.8883,66.40708,69.50497,17.182165,18.01698,16.84397,12.4331875,10.742904,1.3235289,1.2368621,6.184763,7.4706016,1375.14,10.417855,-0.2397461,0.7135864,-0.014404297,25,20,0.48048532,0.32262886,0.23353092,0.27836344,0.27315643,0.80840456,0.6829814,18.10545,16.341648,14.763433,16.130045,15.098907,15.900047,14.424819,16.013678,23.154068,23.199915,23.239178,22.983805,23.002865,22.634394,23.316837,23.106672,21.738132,19.404705,21.078615,16.638655,23.464785,21.70465,25.100693,21.317278,24.327806,23.058777,25.64326,22.944784,23.047857,23.756056,24.223772,24.082462,13.942551,12.837599,12.399806,11.37022,11.897256,11.492156,13.971049,12.585782,14.696277,14.5262165,13.553406,13.759898,12.439129,14.881419,14.413009,14.107669,0.5420424,1.2801955,6.8276825,0.43993583,19.157284,63.59806,17.599571,15.823479,23.075865,21.30432,23.857471,12.558661,14.03848,42.17
4447416.924,659374.7026,25.076876,0.6181204,0.4594565,18.050772,20.572952,20.006277,19.567976,20.04008,64.993904,61.51657,61.852993,66.88732,70.28734,17.28341,18.375296,17.004065,12.367169,10.597084,1.3183788,1.2315447,6.1607485,7.446313,1375.13,12.375199,-0.15966797,0.6012798,-0.014404297,25,20,0.45933524,0.31397003,0.2313024,0.2781189,0.2731814,0.8143728,0.69055736,15.720926,15.587669,12.922282,15.313583,15.05512,15.119964,15.2661295,15.061844,23.845707,23.87281,22.50067,23.141739,23.29175,22.898396,23.804516,23.281109,25.106236,23.5182,21.407574,22.405619,24.79626,22.24429,25.18629,23.627106,25.830898,23.382612,27.547306,23.438639,23.272648,23.295315,25.466345,24.59813,15.073665,10.800344,10.988778,11.308201,11.773602,12.518172,13.218706,12.408037,15.759733,14.417356,13.18987,13.956649,13.102003,15.096659,14.75277,14.402113,0.53878844,1.2749617,6.8035307,0.4372626,19.311863,63.255238,17.829353,14.997953,23.336514,23.523497,24.604824,12.24021,14.325006,42.17
4447416.924,659379.7026,25.930004,0.623486,0.46952206,18.426298,20.917332,20.133327,19.723763,20.098124,64.15783,61.13455,61.336563,66.8811,69.858475,17.776205,19.077137,17.440075,12.003457,10.756985,1.3268731,1.2328554,6.146626,7.4337006,1375.12,15.240779,-0.12011719,0.49020612,-0.013305664,50,20,0.45933524,0.31397003,0.2313024,0.2781189,0.2731814,0.8143728,0.69055736,16.138454,16.051125,13.811833,17.105284,14.883909,15.157358,16.345245,15.768245,24.09216,23.473703,21.939896,23.937326,23.486862,22.944988,24.306715,23.574438,25.055359,23.627848,22.29325,22.839869,24.574316,21.764761,24.737276,23.655201,25.50944,22.143412,24.326996,24.902422,24.552656,23.480846,26.069733,24.774704,15.865057,11.101785,12.267215,11.299314,11.966681,12.473445,13.129372,12.651107,15.33625,15.462596,13.16025,13.912186,12.435351,13.992909,14.757415,14.090812,0.546504,1.2798643,6.790163,0.4372626,19.671814,62.646187,18.42667,15.641887,23.454523,23.556095,24.4265,12.586123,14.150994,42.17
4447416.924,659384.7026,27.733622,0.6319454,0.46817505,18.553583,21.00864,20.183256,19.760784,20.039692,63.79057,61.29178,61.4051,66.87793,69.91622,17.90133,19.041138,17.402626,11.991205,10.711382,1.3310834,1.2201676,6.150523,7.411846,1375.1,14.534454,-0.36035156,0.39991647,-0.024414062,25,20,0.45933524,0.31397003,0.2313024,0.2781189,0.2731814,0.8143728,0.69055736,16.138454,16.051125,13.811833,17.105284,14.883909,15.157358,16.345245,15.768245,24.09216,23.473703,21.939896,23.937326,23.486862,22.944988,24.306715,23.574438,25.055359,23.627848,22.29325,22.839869,24.574316,21.764761,24.737276,23.655201,25.50944,22.143412,24.326996,24.902422,24.552656,23.480846,26.069733,24.774704,15.865057,11.101785,12.267215,11.299314,11.966681,12.473445,13.129372,12.651107,15.33625,15.462596,13.16025,13.912186,12.435351,13.992909,14.757415,14.090812,0.5500602,1.2756255,6.7811847,0.4372626,19.781113,62.541176,18.471233,15.641887,23.454523,23.556095,24.4265,12.586123,14.150994,42.17
4447416.924,659389.7026,27.108887,0.6484432,0.46739194,18.698397,21.143663,20.276138,19.891453,19.971874,63.248478,61.26689,61.42098,66.85873,69.97335,18.160574,19.021202,17.398256,11.996502,10.671286,1.3473526,1.2125984,6.1525354,7.3792996,1375.1,8.130101,-0.20019531,0.30415064,-0.017822266,25,20,0.45933524,0.31397003,0.2313024,0.2781189,0.2731814,0.8143728,0.69055736,15.914966,15.965014,15.796343,15.909953,15.521633,14.981305,14.528964,15.662602,23.081911,23.535984,23.021341,23.174768,23.76623,21.954983,23.648281,23.163338,23.878775,24.14561,24.016132,20.730042,25.423134,21.384184,22.613285,23.153694,24.750881,22.271383,24.910946,22.907179,25.43394,23.861036,22.603897,23.948294,15.531427,12.614443,13.137016,11.9641905,12.641051,11.478023,12.238855,12.707842,14.274442,16.539297,13.118538,13.706436,13.615137,14.323046,15.109969,14.459409,0.5579176,1.2799755,6.765918,0.4372626,19.92103,62.257683,18.590889,15.516883,23.169071,23.170164,23.819897,12.8007145,14.383838,42.17
4447416.924,659394.7026,30.81682,0.67226595,0.4704034,18.905483,21.497776,20.767546,20.245907,20.030865,62.49689,60.664158,61.14335,65.96516,68.93626,18.577364,19.62989,16.940653,12.179175,11.290727,1.3766004,1.2240105,6.132341,7.3324056,1375.1,7.1250157,-0.16015625,0.23119096,-0.013305664,25,20,0.45933524,0.31397003,0.2313024,0.2781189,0.2731814,0.8143728,0.69055736,17.273932,16.92463,15.4939785,14.99976,14.973489,15.679694,14.924651,15.883324,24.315876,24.14147,23.676367,22.85366,23.320246,23.603552,23.52945,23.689531,23.70594,24.136326,25.118547,22.077368,22.27667,21.174648,22.909079,23.179056,24.313787,23.107792,24.664124,22.648085,22.008503,22.803299,22.998598,23.431162,15.238541,13.334346,13.599942,11.956418,12.88489,11.270491,12.932361,12.9368105,15.343045,15.834375,13.5949,13.911622,14.171006,14.175815,13.415733,14.313481,0.57133466,1.3003054,6.732373,0.4372626,20.20163,61.580524,19.103626,15.752877,23.634373,23.05694,23.220598,13.030998,14.3495,42.17
