,Field,Case,R2,RMSE,RRMSE,R2,RMSE,RRMSE
,ASP,Case 1,0.94,403.9,14.5,0.95,396.0,14.1
,ASP,Case 2,0.94,426.5,15.3,0.94,420.7,15.0
,ASP,Case 3,0.94,410.0,14.7,0.95,393.7,14.0
,ASP,Case 4,0.95,400.1,14.4,0.95,395.1,14.1
Normal + Dry,ASP,Case 5,0.94,407.2,14.6,0.95,398.1,14.2
,ASP,Case 6,0.94,411.7,14.8,0.95,403.2,14.3
,ASP,Case 7,0.95,398.4,14.3,0.95,388.8,13.8
,BAU,Case 1,0.89,498.8,16.0,0.90,483.6,15.4
,BAU,Case 2,0.90,490.8,15.8,0.89,488.1,15.5
,BAU,Case 3,0.90,486.4,15.6,0.90,485.3,15.5
,BAU,Case 4,0.90,487.7,15.7,0.90,476.5,15.2
,BAU,Case 5,0.90,485.2,15.6,0.90,480.6,15.3
,BAU,Case 6,0.90,481.0,15.5,0.90,479.2,15.3
,BAU,Case 7,0.90,477.3,15.3,0.90,473.8,15.1
,ASP,Case 1,0.95,417.9,13.7,0.96,400.7,13.3
,ASP,Case 2,0.95,433.4,14.2,0.95,404.6,13.4
,ASP,Case 3,0.95,419.8,13.8,0.96,404.0,13.4
,ASP,Case 4,0.95,409.8,13.4,0.96,388.7,12.9
,ASP,Case 5,0.95,414.4,13.6,0.96,398.5,13.2
,ASP,Case 6,0.95,415.9,13.6,0.96,396.0,13.1
,ASP,Case 7,0.95,406.2,13.3,0.96,393.7,13.0
,BAU,Case 1,0.87,541.4,15.4,0.87,534.9,15.3
,BAU,Case 2,0.87,530.7,15.1,0.87,531.0,15.2
Normal,BAU,Case 3,0.87,533.0,15.2,0.87,525.7,15.0
,BAU,Case 4,0.87,528.2,15.0,0.88,517.8,14.8
,BAU,Case 5,0.87,532.4,15.1,0.88,518.2,14.8
,BAU,Case 6,0.87,529.6,15.1,0.87,525.2,15.0
,BAU,Case 7,0.87,530.6,15.1,0.88,513.9,14.7
,ASP,Case 1,0.83,357.2,16.7,0.84,362.3,17.1
,ASP,Case 2,0.83,348.3,16.3,0.84,356.9,16.9
,ASP,Case 3,0.83,353.9,16.6,0.84,361.0,17.0
,ASP,Case 4,0.83,353.9,16.6,0.84,361.0,17.0
Dry,ASP,Case 5,0.83,348.3,16.3,0.84,356.9,16.9
,ASP,Case 6,0.83,351.8,16.5,0.85,355.0,16.8
,ASP,Case 7,0.83,351.8,16.5,0.85,355.0,16.8
,BAU,Case 1,0.87,295.0,15.7,0.88,287.1,14.8
,BAU,Case 2,0.87,293.4,15.6,0.88,293.8,15.1
,BAU,Case 3,0.87,291.5,15.5,0.89,280.5,14.4
,BAU,Case 4,0.87,291.5,15.5,0.89,280.5,14.4
,BAU,Case 5,0.87,293.4,15.6,0.88,293.8,15.1
,BAU,Case 6,0.87,292.3,15.5,0.88,288.5,14.9
,BAU,Case 7,0.87,292.3,15.5,0.88,288.5,14.9
